	meter	source	statement	context	tags	true	mostly-true	half-true	barely-true	false	pants-fire
0	half-true	Instagram posts	"""Kyle Rittenhouse used his COVID-19 stimulus check to purchase the AR-15 he used in the fatal Kenosha shooting."""	an Instagram post	['Criminal Justice', 'Guns', 'Wisconsin', 'Instagram posts']	1	0	4	9	31	12
1	false	Robin Vos	“We passed one of the first (COVID-19) bills in the entire country, empowering Gov. Evers to act.”	Interview	['Legal Issues', 'Wisconsin', 'Coronavirus', 'Robin Vos']	1	7	4	3	5	1
2	false	Instagram posts	Video shows movers carrying boxes out of the White House as President Trump discusses 2020 election results.	an Instagram post	['Legal Issues', 'Wisconsin', 'Coronavirus', 'Robin Vos']	1	7	4	3	5	1
3	false	Facebook posts	Dominion and Smartmatic “have closed up shop” and executives are “on the run.”	a post	['National', 'Elections', 'Facebook Fact-checks', 'Facebook posts']	18	39	72	109	530	260
4	mostly-false	Viral image	“Pennsylvania just banned alcohol sales.”	a Facebook post	['Facebook Fact-checks', 'Coronavirus', 'Viral image']	3	8	22	39	292	188
5	false	Viral image	Photo shows “Biden’s inaugural stage being built on the White House North Lawn.”	a Facebook post	['Facebook Fact-checks', 'Coronavirus', 'Viral image']	3	8	22	39	292	188
6	false	Viral image	Says Donald Trump’s sister tweeted, “My brother Don won this election and will fight this to the very end.”	a Facebook post	['Facebook Fact-checks', 'Coronavirus', 'Viral image']	3	8	22	39	292	188
7	false	Jody Hice	Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”	a tweet	['National', 'Elections', 'Impeachment', 'Jody Hice']	0	0	0	0	2	0
8	false	Facebook posts	North Carolina Gov. Roy Cooper’s “daughter is having a big wedding today. 500 people. Then going to lock you down on Monday.”	a Facebook post	['National', 'Elections', 'Impeachment', 'Jody Hice']	0	0	0	0	2	0
9	fire	Donald Trump	“In certain swing states, there were more votes than people who voted, and in big numbers.”	a tweet	['Arizona', 'Georgia', 'National', 'Nevada', 'Elections', 'Wisconsin', 'Pennsylvania', 'Michigan', 'Donald Trump']	35	84	119	186	333	154
10	fire	David Perdue	Says Jon Ossoff is “a socialist.”	an interview	['Georgia', 'Candidate Biography', 'David Perdue']	0	8	5	5	2	2
11	fire	Bloggers	Says George Soros was arrested in Philadelphia for election interference.	a blog post	['Elections', 'Facebook Fact-checks', 'Bloggers']	8	18	22	41	154	358
12	false	Facebook posts	Photo shows Time magazine cover with Barack Obama that says “Treason.”	a Facebook post	['Elections', 'Facebook Fact-checks', 'Bloggers']	8	18	22	41	154	358
13	fire	Tim Murtaugh	“In Philadelphia and Pittsburgh...682,000 ballots were counted in secret, away from poll watchers who were entitled by law to have access to that count.”	a radio interview.	[]	0	0	0	0	1	1
